name,slogan,website,status,founded,location,team_size,batch,twitter,facebook,crunchbase
Skill-lync,Online engineering college for India. Learn technical skills & get…,http://skill-lync.com,Active,2018,"Chennai, India",3000,W19,https://twitter.com/edxengine,https://www.facebook.com/edxengine,https://www.crunchbase.com/organization/skill-lync
RocketLit,RocketLit is an adaptive learning and assessment platform.,http://www.rocketlit.com,Active,2016,"Santa Monica, CA",11,S16,https://twitter.com/InnerOrbitedu,https://www.facebook.com/innerorbitNGSS,https://www.crunchbase.com/organization/rocketlit
Our World in Data,Research and data to make progress against the world’s largest…,https://ourworldindata.org,Active,2013,"Oxford, United Kingdom",19,W19,https://twitter.com/OurWorldInData,https://facebook.com/OurWorldInData,https://www.crunchbase.com/organization/our-world-in-data
Mimir,"A platform for STEM courses featuring automated grading, plagiarism…",https://mimirhq.com,Acquired,2014,"Indianapolis, IN",8,S15,,,https://www.crunchbase.com/organization/mimir
Study Edge,"Middle school to college education through web, mobile, and VR",http://studyedge.com,Acquired,2011,"Gainesville, FL",50,S12,,https://www.facebook.com/studyedge,
Fullstack Academy,"Immersive, effective, efficient code education. Acquired by Zovio…",http://fullstackacademy.com,Acquired,2012,New York,170,S12,https://twitter.com/fullstack,,https://www.crunchbase.com/organization/fullstack-academy
Knowmia,Pandora meets Yelp for K-12 educational videos.  We match each…,http://knowmia.com,Acquired,,San Francisco,11,S12,,,https://www.crunchbase.com/organization/knowmia
Awari,Reinventing lifelong learning for the future of work.,https://awari.com,Acquired,2018,"São Paulo, Brazil",35,W21,https://twitter.com/awarischool,https://www.facebook.com/awarischool,https://www.crunchbase.com/organization/awari
FunctionUp (FanPlay),A skill-tech platform that runs placement bootcamps,https://www.functionup.org,Acquired,2020,"Bengaluru, India",20,W21,,,
Strive School,Training the next generation of software engineers in Europe 🇪🇺,https://strive.school,Acquired,2019,"Berlin, Germany",5,S20,https://twitter.com/Strive_School,https://www.facebook.com/striveschool,
Edwin,Edwin is virtual English tutor - an AI-powered service for learning…,https://edwin.ai,Acquired,2017,San Francisco,14,W18,,https://www.facebook.com/EnglishWithEdwin,https://www.crunchbase.com/organization/edwin-ai
Glimpse K12,Glimpse eliminates ineffective spending in schools.,http://www.glimpsek12.com,Acquired,,"Huntsville, AL",6,W18,,,https://www.crunchbase.com/organization/glimpsek12
Eduflow,Create and run collaborative online learning experiences.,https://www.eduflow.com,Acquired,2015,"Copenhagen, Denmark",12,S17,https://twitter.com/eduflowapp,http://facebook.com/eduflowapp,
Mystery.org,We help kids stay curious by creating better explanations.,https://mystery.org,Acquired,2013,San Francisco,53,S17,https://twitter.com/mysterysci,https://www.facebook.com/MysterySci,
Py,Py is democratizing access to career opportunities in tech,https://www.getpy.com,Acquired,,San Francisco,3,S17,,,https://www.crunchbase.com/organization/py
KidPass,Online & In-Person Kids Activities,https://kidpass.com,Acquired,2015,New York,21,W17,https://twitter.com/kidpass,https://facebook.com/kidpass,https://www.crunchbase.com/organization/kidpass
Vidcode,Coding for teens,http://vidcode.com,Acquired,,San Francisco,5,S16,,,https://www.crunchbase.com/organization/vidcode
Verbling,Language learning through video chat.,http://verbling.com,Acquired,,San Francisco,2,S11,https://twitter.com/verbling,,https://www.crunchbase.com/organization/verbling
LendEDU,LendEDU is a marketplace for consumer financial products.,https://lendedu.com,Acquired,,"Hoboken, NJ",10,W16,,,https://www.crunchbase.com/organization/shoptutors
