Address,Price,Beds,Baths,Size
"3988 Crimson Ct, Elgin, IL 60124","$699,000",4 beds,3 baths,"3,403 sq ft"
"8164 W Forest Preserve Ave Unit 2C, Chicago, IL 60634","$174,900",2 beds,1 bath,775 sq ft
"6812 N Wayne Ave Unit 3C, Chicago, IL 60626","$154,900",1 bed,1 bath,600 sq ft
"6666 W Imlay St, Chicago, IL 60631","$399,000",5 beds,3 baths,"2,525 sq ft"
"1106 Rose Ave, Des Plaines, IL 60016","$599,999",5 beds,2 baths,"2,500 sq ft"
"W7999 High Ridge Rd, Fort Atkinson, WI 53538","$799,900",5 beds,2 baths,— sq ft
"11041 S Emerald Ave, Chicago, IL 60628","$269,900",6 beds,3 baths,— sq ft
"601 Lance Dr, Des Plaines, IL 60016","$459,000",4 beds,2.5 baths,"1,458 sq ft"
"485 Duane Ter Unit C1, Glen Ellyn, IL 60137","$175,000",2 beds,1 bath,924 sq ft
"11 S 6th Ave Unit 3B, La Grange, IL 60525","$162,000",1 bed,1 bath,800 sq ft
"8524 Skokie Blvd Unit 2C, Skokie, IL 60077","$205,000",2 beds,1.5 baths,945 sq ft
"1010 Evergreen Cir, Olympia Fields, IL 60461","$359,000",4 beds,3 baths,"2,139 sq ft"
"1308 Draper Rd, Mchenry, IL 60050","$295,000",3 beds,2.5 baths,"1,717 sq ft"
"668 Ingraham Ave, Calumet City, IL 60409","$189,900",4 beds,2.5 baths,"1,200 sq ft"
"2516 Allison Cir, Valparaiso, IN 46383","$342,900",2 beds,2 baths,"1,668 sq ft"
"10944 W Oakwood Rd, Franklin, WI 53132","$422,000",3 beds,1.5 baths,"2,431 sq ft"
"180 Saddle Brook Dr, Oak Brook, IL 60523","$869,900",4 beds,2.5 baths,"3,690 sq ft"
"980 N Lakeside Dr Unit 3D, Vernon Hills, IL 60061","$204,900",2 beds,1 bath,830 sq ft
"1838 N Western Ave #303, Chicago, IL 60647","$725,000",3 beds,2 baths,— sq ft
"1968 Holbrook Ln, Hoffman Estates, IL 60169","$259,000",3 beds,1.5 baths,"1,176 sq ft"
"14041 Stonegate Ln, Orland Park, IL 60467","$472,900",4 beds,2.5 baths,"2,535 sq ft"
"3343 N Sheffield Ave, Chicago, IL 60657","$1,149,900",8 beds,4 baths,— sq ft
"1236 Thorndale Ln, Lake Zurich, IL 60047","$599,999",4 beds,2.5 baths,"2,788 sq ft"
"320 S Fieldstone Ct, Round Lake, IL 60073","$234,900",3 beds,2.5 baths,"1,449 sq ft"
"4355 S Lake Park Ave Unit 2N, Chicago, IL 60653","$599,000",3 beds,3 baths,"2,000 sq ft"
"10821 S Eberhart Ave, Chicago, IL 60628","$305,000",4 beds,3 baths,"1,212 sq ft"
"675 Knollwood Dr, Cary, IL 60013","$449,000",4 beds,2.5 baths,"2,544 sq ft"
"1036 N Kenilworth Ave, Oak Park, IL 60302","$974,900",4 beds,3.5 baths,"4,149 sq ft"
"1806 W Belmont Ave #1, Chicago, IL 60657","$859,900",3 beds,3.5 baths,"2,200 sq ft"
"1019 W Monroe St Unit 4E, Chicago, IL 60607","$774,900",2 beds,2 baths,"1,600 sq ft"
"511 W Division St #606, Chicago, IL 60610","$395,000",2 beds,2 baths,— sq ft
"5100 W 96th St #328, Oak Lawn, IL 60453","$299,900",2 beds,2 baths,"1,322 sq ft"
"1909 S 55th Ct, Cicero, IL 60804","$425,000",4 beds,2.5 baths,— sq ft
"255 Placid Way, Elk Grove Village, IL 60007","$400,000",4 beds,2 baths,"1,695 sq ft"
"1355 N Sandburg Ter Unit 2108D, Chicago, IL 60610","$308,500",1 bed,1 bath,850 sq ft
"241 Barrett Dr Unit C, Yorkville, IL 60560","$240,000",2 beds,1.5 baths,"1,494 sq ft"
"201 S Dryden Pl, Arlington Heights, IL 60004","$549,000",4 beds,2 baths,"1,825 sq ft"
"5028 N Major Ave, Chicago, IL 60630","$769,900",8 beds,3 baths,— sq ft
"2925 W Lyndale St #1, Chicago, IL 60647","$549,000",4 beds,2 baths,— sq ft
"27 E Hattendorf Ave #517, Roselle, IL 60172","$285,000",2 beds,2 baths,"1,413 sq ft"
"9120 Durham Dr, Huntley, IL 60142","$514,000",5 beds,3.5 baths,"2,469 sq ft"
"260 E Chestnut St #707, Chicago, IL 60611","$199,000",1 bed,1 bath,— sq ft
"2439 N Burling St Unit G, Chicago, IL 60614","$480,000",2 beds,2 baths,— sq ft
"3118 N Kedzie Ave, Chicago, IL 60618","$800,000",7 beds,4 baths,— sq ft
